index,book,chapters,verses,bookmark
0,ALL,1189,31102,0
1,Genesis,50,1533,0
2,Exodus,40,1213,0
3,Leviticus,27,859,0
4,Numbers,36,1288,0
5,Deuteronomy,34,959,0
6,Joshua,24,658,0
7,Judges,21,618,0
8,Ruth,4,85,0
9,1-Samuel,31,810,0
10,2-Samuel,24,695,0
11,1-Kings,22,816,0
12,2-Kings,25,719,0
13,1-Chronicles,29,942,0
14,2-Chronicles,36,822,0
15,Ezra,10,280,0
16,Nehemiah,13,406,0
17,Esther,10,167,0
18,Job,42,1070,0
19,Psalms,150,2461,0
20,Proverbs,31,915,0
21,Ecclesiastes,12,222,0
22,Song-of-Solomon,8,117,0
23,Isaiah,66,1292,0
24,Jeremiah,52,1364,0
25,Lamentations,5,154,0
26,Ezekiel,48,1273,0
27,Daniel,12,357,0
28,Hosea,14,197,0
29,Joel,3,73,0
30,Amos,9,146,0
31,Obadiah,1,21,0
32,Jonah,4,48,0
33,Micah,7,105,0
34,Nahum,3,47,0
35,Habakkuk,3,56,0
36,Zephaniah,3,53,0
37,Haggai,2,38,0
38,Zechariah,14,211,0
39,Malachi,4,55,0
40,Matthew,28,1071,0
41,Mark,16,678,0
42,Luke,24,1151,0
43,John,21,879,0
44,Acts,28,1007,0
45,Romans,16,433,0
46,1-Corinthians,16,437,0
47,2-Corinthians,13,257,0
48,Galatians,6,149,0
49,Ephesians,6,155,0
50,Philippians,4,104,0
51,Colossians,4,95,0
52,1-Thessalonians,5,89,0
53,2-Thessalonians,3,47,0
54,1-Timothy,6,113,0
55,2-Timothy,4,83,0
56,Titus,3,46,0
57,Philemon,1,25,0
58,Hebrews,13,303,0
59,James,5,108,0
60,1-Peter,5,105,0
61,2-Peter,3,61,0
62,1-John,5,105,0
63,2-John,1,13,0
64,3-John,1,14,0
65,Jude,1,25,0
66,Revelation,22,404,0
